"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x782209823295148032","x1332655559577886720",2020-11-28 12:00:19,"MobilitySG","Is your mobility scooter or electric wheelchair is parked outside your house? Worried that it may get damaged by rain water splashing in? Protect your personal mobility aid (PMA) today for ONLY $30 with a Scooter Cover!
https://t.co/uusjN2c9j6 https://t.co/bJouFiLyA3","OneUp App",243,,,,FALSE,FALSE,0,0,,,,,"mobilityscooters.sg","https://t.co/uusjN2c9j6","https://www.mobilityscooters.sg","http://pbs.twimg.com/media/En6LK0hXcAAtAlx.jpg","https://t.co/bJouFiLyA3","https://twitter.com/MobilitySG/status/1332655559577886720/photo/1","photo","http://pbs.twimg.com/media/En6LK0hXcAAtAlx.jpg","https://t.co/bJouFiLyA3","https://twitter.com/MobilitySG/status/1332655559577886720/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MobilitySG/status/1332655559577886720","Mobility Scooters SG","Singapore","We are Singapore's leading mobility scooter specialists.",,FALSE,79,2,1,1041,0,2016-10-01 13:25:29,FALSE,,,,"https://pbs.twimg.com/profile_banners/782209823295148032/1475329625",,"http://pbs.twimg.com/profile_images/782212208738471936/FY0xb0YL_normal.jpg"
"x1239672840145821697","x1332589231445856256",2020-11-28 07:36:45,"wilbur_scooter","@aceisvoid it used to be really damaged and dead i cant blame them","Twitter Web App",55,"x1332588742423490566","x1272484430951714816","aceisvoid",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x1272484430951714816","aceisvoid","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/wilbur_scooter/status/1332589231445856256","ramy ! ♡","she/him","peppermint bark addict
cred: @JLemongrass
priv; @smp_l1ve",,FALSE,313,766,26,6685,5389,2020-03-16 22:00:25,FALSE,,,,"https://pbs.twimg.com/profile_banners/1239672840145821697/1606351860",,"http://pbs.twimg.com/profile_images/1331762996234887168/ht9aW4U5_normal.jpg"
"x4794369014","x1332028126147321857",2020-11-26 18:27:07,"khan_23aamir","@AnujRadia Koi milgaya rohit being bullied and his scooter being damaged","Twitter Web App",61,"x1326196267337326592","x539126173","AnujRadia",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x539126173","AnujRadia","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/khan_23aamir/status/1332028126147321857","Aamir khan","","Lucky humaare dilo me zinda hai
Instagram : khan23aamir",,FALSE,63,476,0,602,4358,2016-01-21 18:33:27,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1277185151500500993/JG3R2eOe_normal.jpg"
"x1182666178201882624","x1332008128989237252",2020-11-26 17:07:40,"needypov","i manifested money 
i fell of a scooter today &amp; my shoes and jeans are damaged and im probably getting money from the insurance🧍🏼‍♀️
universe ily but this is not what i meant my leg hurts","Twitter for iPhone",191,,,,FALSE,FALSE,4,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/needypov/status/1332008128989237252","naomi ❀","","want u to cry me a river | she/her",,FALSE,6691,3859,66,10277,17585,2019-10-11 14:36:13,FALSE,,,,"https://pbs.twimg.com/profile_banners/1182666178201882624/1606152120",,"http://pbs.twimg.com/profile_images/1328812798655258626/aAL0dWrD_normal.jpg"
"x857837002724491264","x1331231413148938242",2020-11-24 13:41:16,"Potatosheri","Well.. This happened😅
I got couple of scrapes,I’m fine and I’m glad I didn’t hurt her🐶 That’s me the #Clumsy one, normally I’m good on a scooter but today wasn’t a good day😔
I realize, I didn’t put an apostrophe... Maybe the fall damaged my brain🧠🤔#accident #dog #ilovemydog https://t.co/OcQ1xvjFcv","Twitter for iPad",274,,,,FALSE,FALSE,1,0,,,"Clumsy accident dog ilovemydog",,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1331231313777487879/pu/img/CKbxGp7YCtnJydff.jpg","https://t.co/OcQ1xvjFcv","https://twitter.com/Potatosheri/status/1331231413148938242/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1331231313777487879/pu/img/CKbxGp7YCtnJydff.jpg","https://t.co/OcQ1xvjFcv","https://twitter.com/Potatosheri/status/1331231413148938242/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Potatosheri/status/1331231413148938242","PotatoSheri","In a Trash Can","A Potato who loves making videos,drawing,singing and loves #Aphmau, #MiraculousLadybug,#Webtoon,#StarVsTheForcesOfEvil,#OldCartoons and etc.♥️","https://t.co/BfY0mM8L0v",FALSE,6,79,0,155,565,2017-04-28 06:00:54,FALSE,"https://t.co/BfY0mM8L0v","https://m.youtube.com/channel/UCBmMt5hVN7OySpNtFCtQCWw",,"https://pbs.twimg.com/profile_banners/857837002724491264/1572349203",,"http://pbs.twimg.com/profile_images/1244148496845770753/LN-aQfsm_normal.jpg"
"x1256604097421152258","x1330826147484065793",2020-11-23 10:50:53,"tobiomwah","@Mtniss i wanna shout at you for being silly and hurting yourself but i fell off a scooter and now have a shrek leg so can’t really go off at you 🤠 we’re damaged together xoxo","Twitter for iPhone",167,"x1330825231628464129","x955527395628470272","Mtniss",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x955527395628470272","Mtniss","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tobiomwah/status/1330826147484065793","grakkle 🤍","19 | uk | she/her  #BLM","2D boys turn me into a simp 🧚🏻‍♀️✨ @Mtniss","https://t.co/1U1xzkbAGK",FALSE,1067,1159,27,6596,26030,2020-05-02 15:19:05,FALSE,"https://t.co/1U1xzkbAGK","https://grakkle.carrd.com",,"https://pbs.twimg.com/profile_banners/1256604097421152258/1605459318",,"http://pbs.twimg.com/profile_images/1328018614495178760/zp60GuXP_normal.jpg"
"x48967500","x1330561228456988678",2020-11-22 17:18:12,"RetroRingo","@neilhudson @mrjamieoleary @richardaucock Without wishing to macabre, mine was Roland. Eurosport continued with the feed which was distressing. The thing that still haunts me with Greg is the thought he nearly missed that race with a damaged finger after been knocked off his scooter in the paddock.","Twitter for iPhone",257,"x1330557775412391937","x19729779","neilhudson",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x19729779 x1006523096 x17335071","neilhudson mrjamieoleary richardaucock","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RetroRingo/status/1330561228456988678","Richard Stephenson","Leeds, Yorkshire","From the analogue mountains to the digital fountains...",,FALSE,188,485,1,5971,8353,2009-06-20 09:15:47,FALSE,,,,"https://pbs.twimg.com/profile_banners/48967500/1562337520","http://abs.twimg.com/images/themes/theme7/bg.gif","http://pbs.twimg.com/profile_images/1125091537/images_normal.jpg"
"x115517580","x1330211452620328960",2020-11-21 18:08:19,"pressandguide","Storage trailer damaged, electric toy scooter stolen https://t.co/WL4SC5xYNN https://t.co/q5EvB6DCkj","SocialFlow",76,,,,FALSE,FALSE,0,0,,,,,"bit.ly/3kPUYni","https://t.co/WL4SC5xYNN","https://bit.ly/3kPUYni","http://pbs.twimg.com/media/EnXcREWXEAEGYTz.jpg","https://t.co/q5EvB6DCkj","https://twitter.com/pressandguide/status/1330211452620328960/photo/1","photo","http://pbs.twimg.com/media/EnXcREWXEAEGYTz.jpg","https://t.co/q5EvB6DCkj","https://twitter.com/pressandguide/status/1330211452620328960/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/pressandguide/status/1330211452620328960","Press & Guide","Dearborn, MI","Press & Guide is the voice of Dearborn and Dearborn Heights. Visit our news site for up-to-the-minute breaking news. Published Wednesday and Sunday.","http://t.co/BIN0sHY4KC",FALSE,2872,556,87,24985,55,2010-02-18 22:58:27,TRUE,"http://t.co/BIN0sHY4KC","http://www.pressandguide.com",,"https://pbs.twimg.com/profile_banners/115517580/1487038618","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/916352777609084928/8vWPe6kK_normal.jpg"
"x266546676","x1329855108654510083",2020-11-20 18:32:20,"adam_lescop","@verynetwork  ordered a kids scooter and has arrived damaged/used! Wife called today but was fobbed off and put back in the hold queue - would appreciate if we can have an email address so that we can send you the photos so that we can have a replacement or refund. Thank you","Twitter for iPhone",275,,"x49590751","verynetwork",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x49590751","verynetwork","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/adam_lescop/status/1329855108654510083","Adam Lescop","Jersey, Channel Islands","Entrepreneur, Estate Agent, Business man, Family Man. all round nice guy!","https://t.co/e7TW7uJzzB",FALSE,1277,1253,16,3320,406,2011-03-15 12:08:40,FALSE,"https://t.co/e7TW7uJzzB","http://www.jerseypartybooth.com",,"https://pbs.twimg.com/profile_banners/266546676/1432066206","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1136362084508155904/Vg0iiTou_normal.jpg"
"x220417302","x1329810882017124352",2020-11-20 15:36:35,"neodamngr8","Very disappointed 😡with the @BGaussOfficial electric scooter. They delivered me a damaged scooter and they are trying to convince me that it can be fixed by cleaning with a cloth. R U Kidding me 😡..I did a mistake considering this brand. Branch BGauss, Tar Bund, Secunderabad 😡","Twitter Web App",277,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1277610323675975681","BGaussOfficial","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/neodamngr8/status/1329810882017124352","LifeofRishi","Hyderabad, India",".::@ I am wht I am @::.","https://t.co/8SaCGjK9FY",FALSE,83,209,2,567,122,2010-11-27 18:37:29,FALSE,"https://t.co/8SaCGjK9FY","http://www.iamrish.com",,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1299830335601999873/oVvjd1Id_normal.jpg"
