"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x461876187","x1332739859543453699",2020-11-28 17:35:18,"Kampfteppich","Der Radweg ist, auch wenn die Straßenmarkierung nicht danach aussieht, gerade erst neu eingerichtet worden, @limebike. Warum müssen eure Scooter-Verteiler das sooo dümmlich missachten? Standort: Am Weidenpesch, Kreuzung Am Himmel, in @Koeln-Junkersdorf heute morgen! https://t.co/w9w1XrizKL","Twitter for Android",266,,,,FALSE,FALSE,0,0,,,,,,,,"http://pbs.twimg.com/media/En7X1iYXYAAPOPH.jpg","https://t.co/w9w1XrizKL","https://twitter.com/Kampfteppich/status/1332739859543453699/photo/1","photo","http://pbs.twimg.com/media/En7X1iYXYAAPOPH.jpg","https://t.co/w9w1XrizKL","https://twitter.com/Kampfteppich/status/1332739859543453699/photo/1",,"x3316290844 x1171286929","limebike Koeln","de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Kampfteppich/status/1332739859543453699","Kampfteppich","","",,FALSE,7,32,1,322,2024,2012-01-12 09:06:19,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1749683884/TeslaCUT_normal.jpg"
"x1199459778336043008","x1332739523378372615",2020-11-28 17:33:58,"terriblescoote1","@tonysoares @KenFerrante @RaviBhalla Maybe we can get the pedal assisted bikes @CitiBikeNYC setup here before this starts or better yet let’s get @limebike scooters back just for this event! 20 year olds shouldn’t have to walk drunk! @Tiffanie_Fisher @mike_defusco","Twitter for iPhone",227,"x1332688392103088128","x18215247","tonysoares",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x18215247 x350492510 x40788497 x366631688 x3316290844 x472408841 x561611324","tonysoares KenFerrante RaviBhalla CitiBikeNYC limebike Tiffanie_Fisher mike_defusco","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/terriblescoote1/status/1332739523378372615","Terrible Litter Bug","Everywhere","Pick up your shit, litter sucks, wear a mask & get your bike & scooter off the sidewalk & grow up! 2X Emmy Winner",,FALSE,64,227,0,1836,2750,2019-11-26 22:48:45,FALSE,,,,"https://pbs.twimg.com/profile_banners/1199459778336043008/1602940541",,"http://pbs.twimg.com/profile_images/1199463534159106048/Za9L0Uvu_normal.jpg"
"x19035338","x1332708434601500672",2020-11-28 15:30:25,"darren_scott","How about advising people not to dump your bikes in the middle of a pavement @limebike @_LimeAID https://t.co/2j5uLNRogI","Twitter for iPhone",96,,,,FALSE,FALSE,2,0,,,,,,,,"http://pbs.twimg.com/media/En67QI9XMAMRa1h.jpg","https://t.co/2j5uLNRogI","https://twitter.com/darren_scott/status/1332708434601500672/photo/1","photo","http://pbs.twimg.com/media/En67QI9XMAMRa1h.jpg","https://t.co/2j5uLNRogI","https://twitter.com/darren_scott/status/1332708434601500672/photo/1",,"x3316290844 x1009587483871358976","limebike _LimeAID","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/darren_scott/status/1332708434601500672","Darren Scott","London, UK","Editor - writer - journalist. Geek and pug owner. Editor of @SFXmagazine. Tweets personal views. 📧: darren.scott@futurenet.com","https://t.co/wkurbr3Wtd",FALSE,11349,1490,127,58362,17784,2009-01-15 19:40:57,TRUE,"https://t.co/wkurbr3Wtd","https://www.magazinesdirect.com/mobile/az-single-issues/6937139/sfx-magazine-single-issue.thtml",,"https://pbs.twimg.com/profile_banners/19035338/1540246507","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1177638699884044288/YmVIEy5q_normal.jpg"
"x8144422","x1332702022852743168",2020-11-28 15:04:57,"randomduck","@nikki_d @limebike @DDOTDC Yup, this is in violation of service level agreement with the District.","Tweetbot for iΟS",71,"x1332699653834469377","x14835933","nikki_d",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x14835933 x3316290844 x21789369","nikki_d limebike DDOTDC","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/randomduck/status/1332702022852743168","Rudi Riet","Washington, DC","IT & transpo analyst in DC. Formerly JUMPing. Political activist & cycling advocate. Former chair of @PotomacPedalers. Alpine skiing coach. All views my own.","https://t.co/cUJ8p85BwM",FALSE,1842,2057,110,52847,40628,2007-08-12 19:03:41,FALSE,"https://t.co/cUJ8p85BwM","http://www.randomduck.com/",,"https://pbs.twimg.com/profile_banners/8144422/1599620091","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1018586145146441731/xCZwAQf5_normal.jpg"
"x14835933","x1332699653834469377",2020-11-28 14:55:32,"nikki_d","It is still here @limebike   please removed this bike!! @DDOTDC https://t.co/RZFpyT6hvw","Twitter for Android",63,,,,TRUE,FALSE,1,0,,,,,"twitter.com/nikki_d/status…","https://t.co/RZFpyT6hvw","https://twitter.com/nikki_d/status/1331646770682662915",,,,,,,,,"x3316290844 x21789369","limebike DDOTDC","en","x1331646770682662915","Hey @limebike -- can you please retrieve this bike? https://t.co/tfXXWFh73B",2020-11-25 17:11:45,"Twitter for Android",0,0,"x14835933","nikki_d","Screaming Inside Her Heart",728,692,43857,"D.C.","Functional floozy with a penchant to pickle foods, friends, ML models, & self while knitting both brows and blankets. Prefers quadrupeds and bicycles to bipeds.",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/nikki_d/status/1332699653834469377","Screaming Inside Her Heart","D.C.","Functional floozy with a penchant to pickle foods, friends, ML models, & self while knitting both brows and blankets. Prefers quadrupeds and bicycles to bipeds.","https://t.co/5KxSMaLuld",FALSE,728,692,50,43857,6155,2008-05-19 18:16:14,FALSE,"https://t.co/5KxSMaLuld","https://pronoun.is/she",,"https://pbs.twimg.com/profile_banners/14835933/1555982423","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/716447412496240640/fEgJ5YHA_normal.jpg"
"x14835933","x1331646635567362049",2020-11-25 17:11:13,"nikki_d","@MrTinDC @limebike Thanks!","Twitter for Android",7,"x1331645187576172552","x59954854","MrTinDC",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x59954854 x3316290844","MrTinDC limebike","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/nikki_d/status/1331646635567362049","Screaming Inside Her Heart","D.C.","Functional floozy with a penchant to pickle foods, friends, ML models, & self while knitting both brows and blankets. Prefers quadrupeds and bicycles to bipeds.","https://t.co/5KxSMaLuld",FALSE,728,692,50,43857,6155,2008-05-19 18:16:14,FALSE,"https://t.co/5KxSMaLuld","https://pronoun.is/she",,"https://pbs.twimg.com/profile_banners/14835933/1555982423","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/716447412496240640/fEgJ5YHA_normal.jpg"
"x14835933","x1331646770682662915",2020-11-25 17:11:45,"nikki_d","Hey @limebike -- can you please retrieve this bike? https://t.co/tfXXWFh73B","Twitter for Android",51,,,,TRUE,FALSE,0,0,,,,,"twitter.com/nikki_d/status…","https://t.co/tfXXWFh73B","https://twitter.com/nikki_d/status/1331644730317352960",,,,,,,,,"x3316290844","limebike","en","x1331644730317352960","What is the Twitter account for Jump bikes these days? There is a damaged one in the 800 block of 3rd St SW, West side, on a privately maintained area. #bikedc https://t.co/XDOOMutVtr",2020-11-25 17:03:39,"Twitter for Android",0,0,"x14835933","nikki_d","Screaming Inside Her Heart",728,692,43857,"D.C.","Functional floozy with a penchant to pickle foods, friends, ML models, & self while knitting both brows and blankets. Prefers quadrupeds and bicycles to bipeds.",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/nikki_d/status/1331646770682662915","Screaming Inside Her Heart","D.C.","Functional floozy with a penchant to pickle foods, friends, ML models, & self while knitting both brows and blankets. Prefers quadrupeds and bicycles to bipeds.","https://t.co/5KxSMaLuld",FALSE,728,692,50,43857,6155,2008-05-19 18:16:14,FALSE,"https://t.co/5KxSMaLuld","https://pronoun.is/she",,"https://pbs.twimg.com/profile_banners/14835933/1555982423","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/716447412496240640/fEgJ5YHA_normal.jpg"
"x84041338","x1332683307713179648",2020-11-28 13:50:35,"andreasreger","Hey @limebike, some really nice people threw two of your scooters from the bridge at Nüschelersteg into the river Sihl in Zurich. Time to rescue them, please - before battery or something else is leaking https://t.co/xg5TFPO5l0","Twitter for iPhone",203,,,,FALSE,FALSE,0,0,,,,,,,,"http://pbs.twimg.com/media/En6kY0EXEAIWaJj.jpg","https://t.co/xg5TFPO5l0","https://twitter.com/andreasreger/status/1332683307713179648/photo/1","photo","http://pbs.twimg.com/media/En6kY0EXEAIWaJj.jpg","https://t.co/xg5TFPO5l0","https://twitter.com/andreasreger/status/1332683307713179648/photo/1",,"x3316290844","limebike","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/andreasreger/status/1332683307713179648","Andreas Reger","Zurich - Switzerland","",,FALSE,37,461,0,436,35,2009-10-21 09:33:52,FALSE,,,,"https://pbs.twimg.com/profile_banners/84041338/1599812034","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/955905562407063555/qHyE806x_normal.jpg"
"x37743543","x1332672721864581120",2020-11-28 13:08:31,"HarryHamishGray","@limebike https://t.co/MbIitu0fDt","Twitter for Android",23,"x1332672448077176834","x37743543","HarryHamishGray",FALSE,FALSE,0,0,,,,,"eta.co.uk/2017/10/20/the…","https://t.co/MbIitu0fDt","https://www.eta.co.uk/2017/10/20/the-british-curse-of-high-vis/",,,,,,,,,"x3316290844","limebike","und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/HarryHamishGray/status/1332672721864581120","Harry Gray","Salford, England","Aerospace Graduate turned Fashion Entrepreneur

@WRSalford for all things local",,FALSE,732,778,10,31455,37531,2009-05-04 20:03:19,FALSE,,,,"https://pbs.twimg.com/profile_banners/37743543/1590767043","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1298656087650992133/bMsM1K_F_normal.jpg"
"x37743543","x1332672448077176834",2020-11-28 13:07:26,"HarryHamishGray","@limebike ""Encouraging wearing high visibility clothing when riding over the darker winter months""

This shows a fundamental misunderstanding of the risks associated with e scooters and other forms of micro mobility","Twitter for Android",205,"x1331946676169355264","x3316290844","limebike",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x3316290844","limebike","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/HarryHamishGray/status/1332672448077176834","Harry Gray","Salford, England","Aerospace Graduate turned Fashion Entrepreneur

@WRSalford for all things local",,FALSE,732,778,10,31455,37531,2009-05-04 20:03:19,FALSE,,,,"https://pbs.twimg.com/profile_banners/37743543/1590767043","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1298656087650992133/bMsM1K_F_normal.jpg"
